,s_1,s_2,Exp,pid,success
0,7.89280285270069,-4.969084880350385,3125,14689,0
1,2.63655427004932,5.078516391781545,3126,14689,0
2,5.3550531444047795,-3.619427223171625,3127,14689,0
3,5.903334885905453,4.81511021375484,3128,14689,0
4,-5.802821245322621,7.441409538743454,3129,14689,0
5,-0.8800076899157645,-5.64510510660879,3130,14689,1
6,8.84753558375105,5.129509834833721,3131,14689,0
7,3.7126984869194644,8.546626154815115,3132,14689,0
8,-2.953418615151808,9.424475666222762,3133,14689,0
9,1.0495429801187957,-6.236767308357791,3134,14689,0
10,9.285280210602892,7.817466677447008,3135,14689,0
11,-6.007209204067712,-4.081296385432005,3136,14689,0
12,0.143067334053967,-4.843665063563501,3137,14689,0
13,-8.315444176244435,-0.7059160426821762,3138,14689,1
14,-9.352977166955279,-0.5283849069570561,3139,14689,1
15,-0.35144373587600697,-5.710092941836054,3140,14689,1
16,4.5241054945671255,0.33565473023026016,3141,14689,1
17,-4.169465405323489,6.564579297116126,3142,14689,0
18,-4.198851158117208,9.581525854937112,3143,14689,0
19,4.667749554974153,-1.3690362711583006,3144,14689,1
20,-3.6438138883253917,-0.5087924244892132,3145,14689,1
21,7.924879567501161,7.139783047892504,3146,14689,0
22,8.48364315845929,1.8248605915709621,3147,14689,0
23,8.40458983049211,-1.5252550499107613,3148,14689,0
24,9.699391138886881,-6.751551377007625,3149,14689,0
25,-8.997092561530355,-2.1112179959142114,3150,14689,0
26,-7.938734374575384,-0.524393431884798,3151,14689,1
27,6.251484088205139,-1.9093611780822677,3152,14689,1
28,-7.352292630954212,3.0324741985718244,3153,14689,0
29,2.634534061377561,9.788123800644364,3154,14689,0
30,-5.856267301735205,8.03327674481839,3155,14689,0
31,-7.997143102131988,6.777063551326997,3156,14689,0
32,0.7704367296022951,7.918159605140755,3157,14689,0
33,7.29195628484355,-4.110082779192563,3158,14689,0
34,6.497286162911035,8.313254727335398,3159,14689,0
35,4.608221976759433,5.186772325371976,3160,14689,0
36,-8.324210619438741,8.07024103193164,3161,14689,0
37,5.180128600696852,-7.001251481398905,3162,14689,0
38,-5.6732276347653325,7.853510708141794,3163,14689,0
39,-4.544977061450101,8.44528674309052,3164,14689,0
40,5.063188723473244,-5.839048864660448,3165,14689,0
41,-4.892608449717713,-3.368856164461354,3166,14689,0
42,-5.912060535222614,-2.9260353436927256,3167,14689,0
43,2.5284409533040026,0.7466177823694728,3168,14689,1
44,9.228629889622177,-0.7786866977833196,3169,14689,1
45,7.186206751801802,-1.0810888837529085,3170,14689,1
46,4.136834087704514,2.2325814106220143,3171,14689,1
47,0.009609403775305836,6.056254304180737,3172,14689,0
48,-3.0136315780144667,-4.439271376524696,3173,14689,0
49,5.64381135586553,6.321845923180273,3174,14689,0
50,0.08160035243319186,-7.864033055340562,3175,14689,0
51,-0.6926675586462068,-7.25606928936643,3176,14689,0
52,3.1873690526808236,-3.7349507451533555,3177,14689,0
53,2.046002390801924,-1.9750704642342356,3178,14689,1
54,4.857047176940792,7.742000660617286,3179,14689,0
55,5.711732245437764,7.7369712372432495,3180,14689,0
56,-6.116952300157601,9.895797300739904,3181,14689,0
57,4.539374450979807,-3.3562210876574046,3182,14689,0
58,5.1320776321674835,9.018544788986151,3183,14689,0
59,-4.476101600881044,4.561076138526461,3184,14689,0
60,0.5762135157043033,5.23554157929545,3185,14689,1
61,-6.674373346382438,-4.965176611071147,3186,14689,0
62,-1.9780446664883016,3.777414950215281,3187,14689,1
63,7.264076432472464,-6.817972920655229,3188,14689,0
64,-9.772917878956438,9.510960501584432,3189,14689,0
65,-1.1183859602816355,-9.081401494060046,3190,14689,0
66,-0.49938689263145086,-4.546119582542936,3191,14689,0
67,6.61520769192553,-0.4553519842992664,3192,14689,0
68,9.74616342541124,6.3999494794109175,3193,14689,0
69,-8.12275952549454,-4.212391002526883,3194,14689,0
70,-4.56237610183077,-7.9126676202675394,3195,14689,0
71,-9.47005024245334,-4.678123669312506,3196,14689,0
72,7.185917564201784,-1.9906864478707433,3197,14689,0
73,5.7605009703127035,-0.4930618501914452,3198,14689,0
74,3.759195402193212,-4.26161444804073,3199,14689,0
75,-4.57021471539913,4.087569137369311,3200,14689,0
76,-5.789945056293256,-5.8750236040638075,3201,14689,0
77,-6.1698583225459895,8.659587138795246,3202,14689,0
78,4.393603214268186,-2.6554737266390553,3203,14689,1
79,-0.09231356021147441,-9.700907058442862,3204,14689,0
80,-0.6650062908205872,6.593487139564068,3205,14689,1
81,-8.58425145593715,4.528343087825979,3206,14689,0
82,-1.022874625470596,-3.5963713744880828,3207,14689,1
83,-7.993385237942041,1.9510325239194266,3208,14689,0
