,s_1,s_2,Exp,pid,success,adj_nr
0,7.89280285270069,-4.969084880350385,0,14687,0,0
1,2.63655427004932,5.078516391781545,1,14687,0,1
2,5.35505314440478,-3.619427223171625,2,14687,0,2
3,5.903334885905453,4.81511021375484,3,14687,0,3
4,-5.802821245322621,7.441409538743454,4,14687,0,4
5,-0.8800076899157645,-5.64510510660879,5,14687,1,5
6,8.84753558375105,5.129509834833721,6,14687,0,6
7,3.712698486919464,8.546626154815115,7,14687,0,7
8,-2.953418615151808,9.424475666222762,8,14687,0,8
9,1.0495429801187957,-6.236767308357791,9,14687,0,9
10,9.285280210602892,7.817466677447008,10,14687,0,10
11,-6.007209204067712,-4.081296385432005,11,14687,0,11
12,0.143067334053967,-4.843665063563501,12,14687,0,12
13,-8.315444176244435,-0.7059160426821762,13,14687,1,13
14,-9.35297716695528,-0.5283849069570561,14,14687,1,14
15,-0.3514437358760069,-5.710092941836054,15,14687,1,15
16,4.5241054945671255,0.3356547302302601,16,14687,1,16
17,-4.169465405323489,6.564579297116126,17,14687,0,17
18,-4.198851158117208,9.581525854937112,18,14687,0,18
19,4.667749554974153,-1.3690362711583006,19,14687,1,19
20,-3.643813888325392,-0.5087924244892132,20,14687,1,20
21,7.924879567501161,7.139783047892504,21,14687,0,21
22,8.48364315845929,1.824860591570962,22,14687,0,22
23,8.40458983049211,-1.525255049910761,23,14687,0,23
24,9.69939113888688,-6.751551377007625,24,14687,0,24
25,-8.997092561530355,-2.1112179959142114,25,14687,0,25
26,-7.938734374575384,-0.524393431884798,26,14687,1,26
27,6.251484088205139,-1.909361178082268,27,14687,1,27
28,-7.352292630954212,3.0324741985718244,28,14687,0,28
29,2.634534061377561,9.788123800644364,29,14687,0,29
30,-5.856267301735205,8.03327674481839,30,14687,0,30
31,-7.997143102131988,6.777063551326997,31,14687,0,31
32,0.7704367296022951,7.918159605140755,32,14687,0,32
33,7.29195628484355,-4.110082779192563,33,14687,0,33
34,6.497286162911035,8.313254727335398,34,14687,0,34
35,4.608221976759433,5.186772325371976,35,14687,0,35
36,-8.324210619438741,8.07024103193164,36,14687,0,36
37,5.180128600696852,-7.001251481398905,37,14687,0,37
38,-5.6732276347653325,7.853510708141794,38,14687,0,38
39,-4.544977061450101,8.44528674309052,39,14687,0,39
40,5.063188723473244,-5.839048864660448,40,14687,0,40
41,-4.892608449717713,-3.368856164461354,41,14687,0,41
42,-5.912060535222614,-2.9260353436927256,42,14687,0,42
43,2.528440953304002,0.7466177823694728,43,14687,1,43
44,9.228629889622177,-0.7786866977833196,44,14687,1,44
45,7.186206751801802,-1.0810888837529085,45,14687,1,45
46,4.136834087704514,2.2325814106220143,46,14687,1,46
47,0.0096094037753058,6.056254304180737,47,14687,0,47
48,-3.0136315780144667,-4.439271376524696,48,14687,0,48
49,5.64381135586553,6.321845923180273,49,14687,0,49
50,0.0816003524331918,-7.864033055340562,50,14687,0,50
51,-0.6926675586462068,-7.25606928936643,51,14687,0,51
52,3.187369052680824,-3.734950745153356,52,14687,0,52
53,2.046002390801924,-1.975070464234236,53,14687,1,53
54,4.857047176940792,7.742000660617286,54,14687,0,54
55,5.711732245437764,7.7369712372432495,55,14687,0,55
56,-6.116952300157601,9.895797300739904,56,14687,0,56
57,4.539374450979807,-3.356221087657405,57,14687,0,57
58,5.132077632167484,9.018544788986151,58,14687,0,58
