,loss
0,0.0
1,0.10606877509546653
2,0.21027951335230277
3,0.2524071323858945
4,0.2233919695256148
5,0.20909933686071458
6,0.13531084167327823
7,0.18888344412727998
8,0.16073896481023153
9,0.18576965983471316
10,0.19928920729189725
11,0.21518358637035728
12,0.09191913238005922
13,0.1777802111757003
14,0.19718798517378477
15,0.19306390912873628
16,0.1886578575326041
17,0.1862666694589823
18,0.1747291159111466
19,0.1663744229775963
20,0.16369508428087354
21,0.16441534332596763
22,0.16483952198857743
23,0.16491088768354967
24,0.16496753210217463
25,0.1651309929791278
26,0.16532887255540096
27,0.16568935312630417
28,0.16627304745539728
29,0.1673835434610833
30,0.16960635311297878
31,0.16877058236996234
32,0.16531588230650485
33,0.15346003437886147
34,0.15637219336081465
35,0.16233260758207013
36,0.15945457981624722
37,0.16399095859739976
38,0.15042478489793698
39,0.14833547342341635
40,0.14764117951759026
41,0.15164697603038046
42,0.1525836341291913
43,0.1531230738008058
44,0.1530627979162955
45,0.15304709284521234
46,0.153045071659768
47,0.1530389451423586
48,0.15303409154646852
49,0.15303409154646852
50,0.15303409154646852
51,0.06471245232999845
52,0.13575833640413348
53,0.13529943474156614
54,0.1341928907432699
55,0.13284500542627864
56,0.13250485854658134
57,0.13154545659252337
58,0.1310414498209287
59,0.13115295718595021
60,0.13130299285224378
61,0.13132315424978858
62,0.13141770360234606
63,0.13147386310358788
64,0.13149750438223418
65,0.13139446758933504
66,0.13134929617213675
67,0.13118884920461715
68,0.1310991163091746
69,0.1310273368200381
70,0.1310025132841881
71,0.13106282761708465
72,0.13114984083019898
73,0.131164161264671
74,0.1311675435746853
75,0.1311675435746853
76,0.15303409154646852
77,0.6282333718965232
78,0.05578877930632853
79,0.08307768724076059
80,0.09323007391626037
81,0.09229642713717068
82,0.08060051347430797
83,0.08183039864929587
84,0.0841264995906581
85,0.08419584550131098
86,0.08378563767588787
87,0.08350583260135469
88,0.08330420826650009
89,0.08325884482836976
90,0.08329505410932381
91,0.08330327223610023
92,0.08334657075826524
93,0.08318278719888728
94,0.08324111008937152
95,0.08189983345726137
96,0.08255308552973162
97,0.08277655616556423
98,0.08285456223232046
99,0.08290204808675927
100,0.08282137634790132
101,0.0826906239688805
102,0.0826604763727885
103,0.08265459215241311
104,0.08265484011738344
105,0.08265982569677854
106,0.08266304557335946
107,0.08266274103990412
108,0.08266274103990412
109,0.15303409154646852
110,0.5193391308243673
111,0.03197521375119905
112,0.02829574449513439
113,0.04806029323352323
114,0.0361830629491644
115,0.0372766615466702
116,0.03865054068308904
117,0.03868224666956399
118,0.03593030313611667
119,0.03335343540884228
120,0.0337452744704807
121,0.03180425318861957
122,0.03440025976908423
123,0.03667404658624562
124,0.035856249521860395
125,0.03327646389650152
126,0.03407751469808229
127,0.03445655973572048
128,0.03500531615333502
129,0.03510555630646328
130,0.03493621616355025
131,0.03447166642830002
132,0.034070161734709004
133,0.03390242301315238
134,0.033515161264313864
135,0.0339467615052258
136,0.033835996237322696
137,0.033895467041408445
138,0.03393557810904735
139,0.03379681412306912
140,0.033859396536134234
141,0.033813174297582904
142,0.033788767701769196
143,0.03379596888914893
144,0.03380566724577605
145,0.03380752046130908
146,0.033808054940958066
147,0.033808054940958066
148,0.033808054940958066
149,0.9272133582289555
150,0.01710466749552797
151,0.023743024854461225
152,0.02389250687487099
153,0.02375048374944999
154,0.02358342867949137
155,0.01982400554115671
156,0.02127728902678916
157,0.022215359271633428
158,0.02208451506851894
159,0.021937416678680766
160,0.021914885849731114
161,0.021891171724202962
162,0.021893675821631486
163,0.021908430845416493
164,0.02186779664253402
165,0.021589704846371127
166,0.02165642800027978
167,0.021654628440817447
168,0.0216494868897108
169,0.021636664129391914
170,0.02161148308161387
171,0.021588224051452443
172,0.021573739161638628
173,0.021571806641344615
174,0.021575768983841837
175,0.02157797024524477
176,0.02157000098537898
177,0.0215536089770465
178,0.02154389603339313
179,0.02154233321827448
180,0.02154296681418799
181,0.02154463519833527
182,0.021542452536984946
183,0.021546101175415444
184,0.021545117102307998
185,0.02154388881294267
186,0.02154398444097083
187,0.02154398444097083
188,0.033808054940958066
189,0.869716290469075
190,0.02112880797669625
191,0.008931861875340452
192,0.00946030329251979
193,0.010886461891840504
194,0.010399309269151669
195,0.009647569087005259
196,0.008795159904047445
197,0.008798065573722091
198,0.008819778030542569
199,0.009342628036667744
200,0.009415190928245387
201,0.00960498149304101
202,0.009092647786942187
203,0.007485867650321332
204,0.008400513581721114
205,0.008158107616324184
206,0.008645214456121764
207,0.009037937501492177
208,0.00906019224655008
209,0.009145951309053935
210,0.009186826790102298
211,0.009230762558702033
212,0.009054977351405924
213,0.0025392302901208197
214,0.008282915280622305
215,0.007166246724469971
216,0.008159271975475946
217,0.008116353695286627
218,0.008017721415520818
219,0.007970555203446139
220,0.007963927607413268
221,0.007963948619389427
222,0.00796592890617287
223,0.00796751865474743
224,0.007958944806269574
225,0.00789566447298684
226,0.007702834748887888
227,0.007876240641113696
228,0.007608499279381675
