,s_1,s_2,Exp,pid,success
0,4.75000000000021,8.550000000000264,118371,444004,0
1,4.1000000000002,7.900000000000254,113158,444004,0
2,4.6000000000002075,-4.149999999999917,116917,444004,0
3,3.9500000000001982,-9.899999999999999,111602,444004,0
4,4.650000000000208,-8.899999999999984,117222,444004,0
5,4.200000000000202,3.450000000000191,113869,444004,0
6,4.550000000000207,-9.95,116401,444004,0
7,3.800000000000196,-9.199999999999989,110416,444004,0
8,4.75000000000021,5.700000000000223,118314,444004,0
9,4.550000000000207,3.4000000000001904,116668,444004,0
10,4.200000000000202,-6.49999999999995,113670,444004,0
11,3.850000000000197,-1.8499999999998842,110963,444004,1
12,3.9500000000001982,-9.799999999999997,111604,444004,0
13,4.500000000000206,2.450000000000177,116249,444004,1
14,4.9500000000002125,3.0500000000001855,119861,444004,0
15,4.200000000000202,-1.699999999999882,113766,444004,1
16,4.500000000000206,2.0500000000001712,116241,444004,1
17,4.300000000000203,5.700000000000223,114714,444004,0
18,4.1000000000002,-7.299999999999962,112854,444004,0
19,4.400000000000205,-1.3999999999998778,115372,444004,0
20,4.900000000000212,4.850000000000211,119497,444004,0
21,4.000000000000199,-3.8999999999999133,112122,444004,0
22,4.850000000000211,-1.0499999999998728,118979,444004,1
23,4.300000000000203,-8.299999999999976,114434,444004,0
24,4.200000000000202,-3.5499999999999083,113729,444004,1
25,3.850000000000197,-9.399999999999991,110812,444004,0
26,4.650000000000208,-2.749999999999897,117345,444004,1
27,3.9500000000001982,-4.449999999999921,111711,444004,0
28,4.200000000000202,-1.2499999999998757,113775,444004,1
29,3.850000000000197,-9.149999999999988,110817,444004,0
30,4.000000000000199,3.2000000000001876,112264,444004,0
31,4.80000000000021,2.1500000000001727,118643,444004,0
32,4.2500000000002025,0.30000000000014637,114206,444004,0
33,4.500000000000206,-0.7499999999998685,116185,444004,1
34,4.300000000000203,-6.7999999999999545,114464,444004,1
35,4.300000000000203,2.100000000000172,114642,444004,0
36,4.80000000000021,0.6000000000001506,118612,444004,1
37,4.450000000000205,-7.299999999999962,115654,444004,0
38,4.2500000000002025,0.30000000000014637,114206,444004,1
39,4.2500000000002025,0.3500000000001471,114207,444004,1
40,4.0500000000002,-4.39999999999992,112512,444004,1
41,4.500000000000206,-5.849999999999941,116083,444004,0
42,4.650000000000208,-8.099999999999973,117238,444004,0
43,4.6000000000002075,-5.899999999999942,116882,444004,0
44,4.550000000000207,4.450000000000205,116689,444004,0
45,4.75000000000021,5.400000000000219,118308,444004,0
46,4.500000000000206,-0.7999999999998693,116184,444004,0
47,4.350000000000204,-3.5499999999999083,114929,444004,0
48,4.0500000000002,4.000000000000199,112680,444004,0
49,4.150000000000201,-5.04999999999993,113299,444004,0
