,sample_noise,sample_parent,sample_weights,f,samples,common_cause_to_confounder_fraction,nodes,edges,dataset,graph_name
0,uniform,uniform,weight_sample,linear,100,1,10,13,351858bb-d773-4f05-b9e6-7724ea049214.csv,graph_10_10.csv
0,uniform,uniform,weight_sample,linear,100,0.5,10,13,3a5b2eb9-90da-43a4-8ce3-99974dc1dcaa.csv,graph_10_10.csv
0,uniform,uniform,weight_sample,linear,100,0,10,13,4fd1b73d-d24c-441b-a1ce-4b2f9e975a59.csv,graph_10_10.csv
0,uniform,uniform,weight_sample,linear,2000,1,10,13,e2881bd1-dc38-4881-9c2e-2caea18f487d.csv,graph_10_10.csv
0,uniform,uniform,weight_sample,linear,2000,0.5,10,13,fdb31846-bddb-45ce-a676-742db082dc27.csv,graph_10_10.csv
0,uniform,uniform,weight_sample,linear,2000,0,10,13,9b0dce3e-71e2-4224-94d3-499e5e9df663.csv,graph_10_10.csv
0,uniform,uniform,weight_sample,linear,10000,1,10,13,25c2b950-acd4-401c-84ac-af47b555bc99.csv,graph_10_10.csv
0,uniform,uniform,weight_sample,linear,10000,0.5,10,13,9ae504bb-5171-49f1-bcc1-0ab4de2beaba.csv,graph_10_10.csv
0,uniform,uniform,weight_sample,linear,10000,0,10,13,5c1561cf-5881-424b-b1c4-0179071052b7.csv,graph_10_10.csv
0,uniform,uniform,weight_sample,sigmoid,100,1,10,13,116a83ca-b399-4b31-9283-1c3e44449245.csv,graph_10_10.csv
0,uniform,uniform,weight_sample,sigmoid,100,0.5,10,13,287f15a6-76d9-42ae-b577-2cdbe8db466c.csv,graph_10_10.csv
0,uniform,uniform,weight_sample,sigmoid,100,0,10,13,44421097-9e8c-4434-9df6-0440728b3aac.csv,graph_10_10.csv
0,uniform,uniform,weight_sample,sigmoid,2000,1,10,13,ba5171a6-2cfd-4f7d-bd20-5772d1a0f28a.csv,graph_10_10.csv
0,uniform,uniform,weight_sample,sigmoid,2000,0.5,10,13,86d399bb-bac1-4a41-bfbf-a162f06257d9.csv,graph_10_10.csv
0,uniform,uniform,weight_sample,sigmoid,2000,0,10,13,1f39a6cd-f9e9-46eb-bb90-138efc21424e.csv,graph_10_10.csv
0,uniform,uniform,weight_sample,sigmoid,10000,1,10,13,a1dcb4f6-e38f-4c2d-844d-a4865fe96c76.csv,graph_10_10.csv
0,uniform,uniform,weight_sample,sigmoid,10000,0.5,10,13,d61d2dcd-d6f6-4338-bcfb-9718fc36a9de.csv,graph_10_10.csv
0,uniform,uniform,weight_sample,sigmoid,10000,0,10,13,be73c4c6-f3ae-4511-b2f2-07aecbbbf16d.csv,graph_10_10.csv
0,uniform,gaussian,weight_sample,linear,100,1,10,13,2bac8d39-49c0-48f9-a8f2-895162f4331a.csv,graph_10_10.csv
0,uniform,gaussian,weight_sample,linear,100,0.5,10,13,140e322b-b0f6-4c42-b7f6-5191e234af38.csv,graph_10_10.csv
0,uniform,gaussian,weight_sample,linear,100,0,10,13,ea9ef28d-adfd-42c8-98fa-186898f0f778.csv,graph_10_10.csv
0,uniform,gaussian,weight_sample,linear,2000,1,10,13,22e5dfdd-73fb-43ff-a43c-0f789d06fb09.csv,graph_10_10.csv
0,uniform,gaussian,weight_sample,linear,2000,0.5,10,13,fc33db3e-139b-432c-be51-538ecb587571.csv,graph_10_10.csv
0,uniform,gaussian,weight_sample,linear,2000,0,10,13,6126440e-815c-4109-a12c-eb6ad7714562.csv,graph_10_10.csv
0,uniform,gaussian,weight_sample,linear,10000,1,10,13,9a100606-4df0-478c-873e-0e9ef863c94e.csv,graph_10_10.csv
0,uniform,gaussian,weight_sample,linear,10000,0.5,10,13,38c9dda4-4f79-4127-8a28-8372225b1eb4.csv,graph_10_10.csv
0,uniform,gaussian,weight_sample,linear,10000,0,10,13,67505b52-ce5d-4ecb-8c8d-d0eab5bfffce.csv,graph_10_10.csv
0,uniform,gaussian,weight_sample,sigmoid,100,1,10,13,b3b4e19e-ad63-461b-95e7-c032c569225e.csv,graph_10_10.csv
0,uniform,gaussian,weight_sample,sigmoid,100,0.5,10,13,0d5ee337-316e-4d07-8472-e1a3bde5d843.csv,graph_10_10.csv
0,uniform,gaussian,weight_sample,sigmoid,100,0,10,13,b323ee01-fb8b-4a59-93f9-3ca1054e0dc6.csv,graph_10_10.csv
0,uniform,gaussian,weight_sample,sigmoid,2000,1,10,13,ad1b44de-723e-4423-8bfc-9ce8255140f9.csv,graph_10_10.csv
0,uniform,gaussian,weight_sample,sigmoid,2000,0.5,10,13,278d4170-b21b-409b-a4cd-b3ea69201c2e.csv,graph_10_10.csv
0,uniform,gaussian,weight_sample,sigmoid,2000,0,10,13,d795494c-6f38-4ecd-9518-7af8bf43ccf0.csv,graph_10_10.csv
0,uniform,gaussian,weight_sample,sigmoid,10000,1,10,13,e3d5831a-48f0-4fe8-b4f0-9b88f7fe2a5d.csv,graph_10_10.csv
0,uniform,gaussian,weight_sample,sigmoid,10000,0.5,10,13,7fd59295-6cbc-40c3-819d-a985e658cbd7.csv,graph_10_10.csv
0,uniform,gaussian,weight_sample,sigmoid,10000,0,10,13,c29e98f9-0e5b-4944-9a1f-518350069ec5.csv,graph_10_10.csv
0,uniform,laplace,weight_sample,linear,100,1,10,13,6c205303-cae6-4e0f-b3d6-bfadbeab3fdf.csv,graph_10_10.csv
0,uniform,laplace,weight_sample,linear,100,0.5,10,13,0c3a4119-a6ab-4c8f-a810-cfe082c94b59.csv,graph_10_10.csv
0,uniform,laplace,weight_sample,linear,100,0,10,13,8c397e6f-a2bc-42d1-a61e-8ca1779df9c7.csv,graph_10_10.csv
0,uniform,laplace,weight_sample,linear,2000,1,10,13,490ed9b9-8cdf-45e2-9635-2c260d4e079b.csv,graph_10_10.csv
