,0,1,2,vars,t
0,-4.000000000000002,-1.8790576583072764,1.8771737987072858,0,0
1,-1.8790576583072756,-0.9999999999999998,0.9992252056946114,1,0
2,1.8771737987072858,0.9992252056946114,-1.0000000000000004,2,0
0,-2.2369603540671683,0.45685299441122496,-0.45726126769944175,0,1
1,-0.9406934674628308,0.12593834148784513,-0.12599310677127945,1,1
2,0.9388099826121914,-0.1260172905673854,0.1241457265703372,2,1
0,-1.6446664617670037,0.3938198811697921,-0.39372543815176464,0,2
1,-0.6254496422820914,0.09759052533227179,-0.09740846933373146,1,2
2,0.6235663491347658,-0.09771700634531877,0.0955921979979103,2,2
0,-0.7174991887803367,-0.07658960864273379,0.07628837879124672,0,3
1,-0.13197207861429489,-0.12292991959555316,0.12290921434901553,1,3
2,0.1300892092198752,0.12257537526203999,-0.12450367657329924,2,3
0,-0.6623275431154847,-0.09236388779734246,0.09178690782992277,0,4
1,-0.10260741720784967,-0.12805283789296634,0.12789663956388836,1,4
2,0.10072469219624496,0.12765854374140884,-0.1294816483052125,2,4
0,-0.6252271806063397,-0.09864409505890695,0.0982817160379263,0,5
1,-0.0828610777617674,-0.12841402334279056,0.12836775176165674,1,5
2,0.08097863965786974,0.127980186746006,-0.1299472781495826,2,5
0,-0.5451269592856423,-0.10878217541741216,0.10716159161862472,0,6
1,-0.04022857275237517,-0.12592122201031622,0.12524784363104113,1,6
2,0.03834762827066939,0.12538008854208949,-0.1268163385431418,2,6
0,-0.3087298468602656,-0.6011709864671355,0.5942598556883396,0,7
1,0.08559077460174226,-0.3197771173861469,0.3164819501339264,1,7
2,-0.08746361718220962,0.31847488160626286,-0.317785730025766,2,7
0,-0.47678821097530233,-0.25112416379417996,0.2479741647043957,0,8
1,-0.0038561457663286165,-0.18196196255339883,0.18053066556812686,1,8
2,0.0019775434189403195,0.18120080618057283,-0.1820226354628193,2,8
0,-0.3359678399923242,-0.5528557214578202,0.5498095916195245,0,9
1,0.07109370859778927,-0.300567406090617,0.29909689835385594,1,9
2,-0.0729675415641729,0.29933719979300477,-0.3004248969318016,2,9
0,-0.47655500362729153,-0.2516238501384411,0.24847402306263838,0,10
1,-0.0037320241165413495,-0.18215838059117187,0.18072701867044164,1,10
2,0.0018534296675465133,0.18139644744231329,-0.1822187170183708,2,10
0,-0.44910275039726494,-0.08525853411062287,0.08400870678011162,0,11
1,0.010879009214621106,-0.09650333760211052,0.09594468933541989,1,11
2,-0.012756130762637803,0.09571374101049306,-0.09750677869386129,2,11
0,-0.5095610145240619,-0.10362468068806216,0.10146969660949336,0,12
1,-0.02129944598715889,-0.10537837674415416,0.10439270772981112,1,12
2,0.019422397093187885,0.10458362452534228,-0.10594680416181411,2,12
0,-0.5784049091813935,-0.11771241558332689,0.11636707128313085,0,13
1,-0.05794112256726141,-0.11153103922336978,0.1109278247539654,1,13
2,0.05606437917415817,0.11072307783783154,-0.11247446998077255,2,13
0,-0.5867192328253918,-0.11638258314564236,0.11508346929342414,0,14
1,-0.06236639357110769,-0.1102686796078272,0.10968257079564714,1,14
2,0.060489897751233125,0.10945233409998306,-0.11122921722359709,2,14
0,-0.591890057042568,-0.10968371802238683,0.10825513256068656,0,15
1,-0.0651186485266575,-0.1052961676035827,0.1046290412025461,1,15
2,0.0632429936811066,0.1044571797949881,-0.10617716960837933,2,15
0,-0.5883278382484802,-0.1077244865488072,0.10623374058966986,0,16
1,-0.06322274472720214,-0.10428506204936962,0.10357686498796642,1,16
2,0.06134749560358761,0.10344571492059416,-0.105125849019623,2,16
0,-0.587100417704269,-0.10734970128544319,0.10582667034019368,0,17
1,-0.06256949273832065,-0.10411095331157029,0.1033811790923343,1,17
2,0.060694468860505474,0.103271810277104,-0.10493035065129683,2,17
0,-0.5867791195867268,-0.10727540984603402,0.10572428989006002,0,18
1,-0.062398516350262945,-0.1040781954147112,0.10332931288066348,1,18
2,0.060523710454917695,0.10323911763077077,-0.10487852911432938,2,18
0,-0.5852892425469758,-0.10698391319248936,0.10518780816874776,0,19
1,-0.061605826669362145,-0.10396406245706266,0.10304834451205723,1,19
2,0.05973296477520664,0.10312544416182542,-0.10459778621624334,2,19
0,-0.5837406816041184,-0.10681009488558833,0.10451186472668421,0,20
1,-0.060782210638453626,-0.10393200536420848,0.10267534185078227,1,20
2,0.05891338518461277,0.10309416976251222,-0.10422504979453746,2,20
0,-0.58186379949644,-0.10699526017224659,0.10341356277296898,0,21
1,-0.05978478541805762,-0.10414624873312522,0.10202355977976632,1,21
2,0.057926369625546675,0.10331012418065759,-0.10357365738065256,2,21
0,-0.5813902879719317,-0.10801249636742064,0.10239012075854455,0,22
1,-0.05953522828933322,-0.10481907900357706,0.10134496099858785,1,22
2,0.05769357982019333,0.103985230404175,-0.10289535477429017,2,22
0,-0.583174521313956,-0.10939926439398034,0.10169950550483887,0,23
1,-0.060487874280565665,-0.10556499527575333,0.10095693507148504,1,23
2,0.0586666369174106,0.10473182836593,-0.10250759435858173,2,23
0,-0.5872695677641444,-0.11218606407061496,0.10208431776460719,0,24
1,-0.06267107040897796,-0.10676517636195519,0.10120638299239683,1,24
2,0.060874580565385736,0.1059291573176287,-0.10275692556015138,2,24
0,-0.5907395254316827,-0.11370798967308267,0.1028654270760009,0,25
1,-0.06451986574923203,-0.10726969195710685,0.10181510398792987,1,25
2,0.06273654882770824,0.10642998261580516,-0.1033655058076782,2,25
0,-0.5944239489551811,-0.11494080089209857,0.10371746002341196,0,26
1,-0.06648309059581316,-0.10744215641271271,0.10267807181516882,1,26
2,0.06471486226543649,0.10659612000388569,-0.1042285070213757,2,26
0,-0.5990777531546558,-0.11637177509657576,0.10443968773443064,0,27
1,-0.06896464021041473,-0.10721782380867263,0.10403432478296791,1,27
