,s_1,s_2,Exp,pid,success,adj_nr
0,4.279692089072126,4.460940802400447,0,32058,0,0
1,3.64775472298437,-3.923406248330494,1,32058,0,1
2,2.924472893373453,9.166608629583152,2,32058,0,2
3,-9.045008734538388,2.5013880515998625,3,32058,0,3
4,6.416084435941013,9.220011306360425,4,32058,0,4
5,8.004157442194966,-2.3571350823851294,5,32058,1,5
6,8.014739524041847,7.175360064263924,6,32058,0,6
7,2.0557507565414586,-2.636765245060251,7,32058,1,7
8,1.0136162673486488,7.72240000539319,8,32058,1,8
9,2.48223598471653,-3.197369356398565,9,32058,1,9
10,2.941810260099814,4.606339922563334,10,32058,0,10
11,4.911930294371443,-5.033708678822386,11,32058,0,11
12,7.300160824623138,-5.204826741064268,12,32058,0,12
13,-9.018057769001098,-8.799527544995376,13,32058,0,13
14,7.368188918613093,-1.0089196738478172,14,32058,1,14
15,-3.629606552709017,1.568612822401711,15,32058,1,15
16,2.043373536372909,-4.003865926110608,16,32058,1,16
17,-9.78211890293696,5.300859917907443,17,32058,0,17
18,1.5245295769441132,-1.8401057548315836,18,32058,1,18
19,-8.41886559247796,-1.84743644611838,19,32058,0,19
20,2.701141884116092,1.4900501046394492,20,32058,1,20
21,-0.220482014664844,-6.040555636606708,21,32058,0,21
22,-5.280889963447151,5.201263471347396,22,32058,0,22
23,0.2264973043380358,-5.4802132295156,23,32058,0,23
24,2.16125877845542,8.84569196554677,24,32058,0,24
25,-6.284772423572331,8.63070611344175,25,32058,0,25
26,3.728402541376889,1.4223756942801238,26,32058,1,26
27,5.372572042650699,4.38626486748818,27,32058,0,27
28,6.222714120639196,-1.9519124720577512,28,32058,1,28
29,0.497693089662274,5.307514426023177,29,32058,1,29
30,9.200462201662376,-3.073812367257296,30,32058,0,30
31,-1.5891315908215944,-5.362874196156038,31,32058,0,31
32,-9.015928405799604,7.160406748854818,32,32058,0,32
33,-8.360036735500183,-6.342149097323848,33,32058,0,33
34,-0.4280886106120025,-4.788474308780075,34,32058,1,34
35,4.473539810196595,3.2888497330340005,35,32058,1,35
36,-4.3666386237750965,6.907671917360279,36,32058,0,36
37,7.013260566284906,-2.5197637108531312,37,32058,0,37
38,-8.508670207795994,-4.597860142953256,38,32058,0,38
39,-0.2292874202463188,6.3915507365423,39,32058,1,39
40,-7.839647437692214,-0.0981172452309575,40,32058,1,40
41,8.524905689878839,-7.0780747349142885,41,32058,0,41
42,-6.192268220398054,-8.855639129501217,42,32058,0,42
43,2.9279983639756075,4.447871041370842,43,32058,1,43
44,-6.993003483055473,-3.428492760681136,44,32058,0,44
45,0.0276790947321909,-5.727499578440288,45,32058,0,45
46,8.387237001580033,2.816418125867145,46,32058,0,46
47,-8.266343608607663,8.823976463732414,47,32058,0,47
48,5.149653485581835,-8.196159707843435,48,32058,0,48
49,3.2699318207763373,4.174876049061806,49,32058,1,49
50,-0.1749739520411175,-7.930897328612554,50,32058,1,50
51,0.3383157585443523,-8.385563550410017,51,32058,1,51
52,-1.1706072466281583,-4.462428833516185,52,32058,1,52
53,0.9645692524007892,4.352068148228314,53,32058,1,53
54,9.327168844493738,8.018194253953144,54,32058,0,54
55,2.948481973378655,-7.878700014143054,55,32058,0,55
56,-7.798495080204035,-9.050830370509209,56,32058,0,56
57,1.8645199907141377,-1.8751180112095585,57,32058,1,57
58,2.112223539178565,-6.262806569086949,58,32058,0,58
59,-2.073251745549392,2.1784790820447792,59,32058,1,59
60,0.9735826273416156,2.4091074908392525,60,32058,1,60
61,-6.549882014015207,7.44957638185258,61,32058,0,61
62,5.850559615702053,-0.850917906330892,62,32058,1,62
